更新时间: 2026-04-20 16:28:57（北京时间）

更新时间,#genre#
2026-04-20 16:28:57,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

大湾区,#genre#
广州综合,http://183.30.202.85:8000/rtp/239.253.43.71:5146$广东电信
广州综合,http://58.62.234.243:10000/rtp/239.253.43.71:5146$广东电信
广州新闻,http://183.30.202.85:8000/rtp/239.253.43.72:5146$广东电信
广州新闻,http://58.62.234.243:10000/rtp/239.253.43.72:5146$广东电信
广州法治,http://183.30.202.85:8000/rtp/239.253.43.74:5146$广东电信
广州法治,http://58.62.234.243:10000/rtp/239.253.43.74:5146$广东电信
广东珠江,http://183.30.202.85:8000/rtp/239.77.0.1:5146$广东电信
广东珠江,http://183.30.202.85:8000/rtp/239.77.0.114:5146$广东电信
广东珠江,http://183.30.202.85:8000/rtp/239.77.1.94:5146$广东电信
广东珠江,http://58.62.234.243:10000/rtp/239.77.0.1:5146$广东电信
广东珠江,http://58.62.234.243:10000/rtp/239.77.0.114:5146$广东电信
广东珠江,http://58.62.234.243:10000/rtp/239.77.1.94:5146$广东电信
广东体育,http://183.30.202.85:8000/rtp/239.77.0.112:5146$广东电信
广东体育,http://183.30.202.85:8000/rtp/239.77.0.168:5146$广东电信
广东体育,http://183.30.202.85:8000/rtp/239.77.1.97:5146$广东电信
广东体育,http://58.62.234.243:10000/rtp/239.77.0.112:5146$广东电信
广东体育,http://58.62.234.243:10000/rtp/239.77.0.168:5146$广东电信
广东体育,http://58.62.234.243:10000/rtp/239.77.1.97:5146$广东电信
广东新闻,http://183.30.202.85:8000/rtp/239.77.0.173:5146$广东电信
广东新闻,http://58.62.234.243:10000/rtp/239.77.0.173:5146$广东电信
广东卫视,http://183.30.202.85:8000/rtp/239.77.0.84:5146$广东电信
广东卫视,http://183.30.202.85:8000/rtp/239.77.0.27:5146$广东电信
广东卫视,http://183.30.202.85:8000/rtp/239.77.0.65:5146$广东电信
广东卫视,http://183.30.202.85:8000/rtp/239.77.0.66:5146$广东电信
广东卫视,http://220.192.130.71:8002/rtp/225.0.4.102:7980$重庆市联通
广东卫视,http://220.192.130.71:8002/rtp/225.0.4.84:7980$重庆市联通
广东卫视,http://221.232.40.13:8888/rtp/239.254.96.140:8914$湖北电信
广东卫视,http://58.62.234.243:10000/rtp/239.77.0.84:5146$广东电信
广东卫视,http://58.62.234.243:10000/rtp/239.77.0.27:5146$广东电信
广东卫视,http://58.62.234.243:10000/rtp/239.77.0.65:5146$广东电信
广东卫视,http://58.62.234.243:10000/rtp/239.77.0.66:5146$广东电信
广东民生,http://183.30.202.85:8000/rtp/239.77.0.225:5146$广东电信
广东民生,http://58.62.234.243:10000/rtp/239.77.0.225:5146$广东电信
广东影视,http://183.30.202.85:8000/rtp/239.77.0.217:5146$广东电信
